prompt_id,tier,prompt,state,state_label,latency_ms,keyword_hits,keyword_total,hit_rate,difficulty,weighted_score,reliability_score,oversight_cost,stochastic_gap,mfpt_to_fail,pass_count,uncertain_count,fail_count,execution_time_s,dry_run
1,math,What is 17 × 23?,0,PASS,213.45,1,1,1.0,0.1,1.0,,,,,,,,,,
2,math,"Solve for x: 2x + 5 = 17",0,PASS,187.32,2,2,1.0,0.15,1.0,,,,,,,,,,
3,math,What is the derivative of x^3 + 2x?,0,PASS,241.18,2,2,1.0,0.2,1.0,,,,,,,,,,
4,math,"If a train travels 120 miles in 2 hours, what is its average speed?",0,PASS,158.77,3,3,1.0,0.1,1.0,,,,,,,,,,
5,math,What is the sum of the first 10 positive integers?,0,PASS,203.61,1,1,1.0,0.1,1.0,,,,,,,,,,
6,math,What is the greatest common divisor of 48 and 36?,0,PASS,176.43,1,1,1.0,0.2,1.0,,,,,,,,,,
7,math,What is 2^10?,0,PASS,134.22,1,1,1.0,0.1,1.0,,,,,,,,,,
8,math,"Simplify: (x^2 - 4) / (x - 2)",1,UNCERTAIN,298.54,1,2,0.5,0.25,0.5,,,,,,,,,,
9,math,What is the area of a circle with radius 5?,0,PASS,221.87,2,3,0.6667,0.15,1.0,,,,,,,,,,
10,math,A bag has 3 red and 7 blue balls. What is the probability of drawing a red ball?,0,PASS,267.33,3,3,1.0,0.15,1.0,,,,,,,,,,
11,math,What is the square root of 144?,0,PASS,142.11,1,1,1.0,0.05,1.0,,,,,,,,,,
12,math,Convert 0.375 to a fraction in its simplest form.,0,PASS,189.54,1,1,1.0,0.2,1.0,,,,,,,,,,
13,math,What is the 8th term in the arithmetic sequence 2 5 8 11...?,0,PASS,234.67,1,1,1.0,0.25,1.0,,,,,,,,,,
14,math,What is log base 2 of 64?,0,PASS,178.92,1,1,1.0,0.2,1.0,,,,,,,,,,
15,math,"If f(x) = x^2 + 3x - 4, find f(2).",0,PASS,211.34,1,1,1.0,0.15,1.0,,,,,,,,,,
16,math,What is 15% of 240?,0,PASS,156.78,1,1,1.0,0.1,1.0,,,,,,,,,,
17,math,How many ways can you arrange 4 books on a shelf?,0,PASS,198.45,1,1,1.0,0.2,1.0,,,,,,,,,,
18,math,What is the hypotenuse of a right triangle with legs 6 and 8?,0,PASS,167.23,1,1,1.0,0.15,1.0,,,,,,,,,,
19,math,Evaluate: 5! (5 factorial),0,PASS,145.89,1,1,1.0,0.1,1.0,,,,,,,,,,
20,math,"What is the median of: 3, 7, 9, 1, 5?",0,PASS,223.41,1,1,1.0,0.15,1.0,,,,,,,,,,
21,math,Solve: 3x - 7 = 2x + 4,0,PASS,192.67,2,2,1.0,0.15,1.0,,,,,,,,,,
22,math,What is the sum of angles in a pentagon?,0,PASS,176.54,1,1,1.0,0.2,1.0,,,,,,,,,,
23,math,What is 0.1 + 0.2 in exact decimal?,0,PASS,134.78,1,1,1.0,0.05,1.0,,,,,,,,,,
24,math,A 20% discount on a $150 item yields what final price?,0,PASS,219.33,2,2,1.0,0.15,1.0,,,,,,,,,,
25,math,What is the LCM of 12 and 18?,2,FAIL,312.45,0,1,0.0,0.2,0.0,,,,,,,,,,
26,code,Write a Python function to reverse a string.,0,PASS,287.54,3,3,1.0,0.15,1.2,,,,,,,,,,
27,code,Write a Python one-liner to check if a number is even.,0,PASS,245.67,3,3,1.0,0.1,1.2,,,,,,,,,,
28,code,Write Python code to find the maximum in a list without using max().,0,PASS,312.34,3,3,1.0,0.2,1.2,,,,,,,,,,
29,code,Write a Python function to count occurrences of each character in a string.,0,PASS,298.78,3,3,1.0,0.2,1.2,,,,,,,,,,
30,code,Write a Python function to check if a string is a palindrome.,0,PASS,267.45,3,3,1.0,0.15,1.2,,,,,,,,,,
31,code,Write SQL to select all users older than 30 from a users table.,0,PASS,234.12,5,5,1.0,0.15,1.2,,,,,,,,,,
32,code,Write a Python list comprehension to get squares of even numbers from 1 to 20.,0,PASS,256.89,3,3,1.0,0.2,1.2,,,,,,,,,,
33,code,Write a Python function to compute the nth Fibonacci number recursively.,0,PASS,289.34,3,3,1.0,0.25,1.2,,,,,,,,,,
34,code,Write a Python decorator that logs function calls.,1,UNCERTAIN,378.45,2,3,0.6667,0.35,0.6,,,,,,,,,,
35,code,Write Python code to read a CSV file using pandas and print its head.,0,PASS,267.78,3,3,1.0,0.15,1.2,,,,,,,,,,
36,code,Write a Python context manager for timing code execution.,0,PASS,334.56,3,3,1.0,0.3,1.2,,,,,,,,,,
37,code,Write a bash one-liner to count lines in a file.,0,PASS,198.23,2,2,1.0,0.1,1.2,,,,,,,,,,
38,code,"Write a Python class with __init__, __str__, and a method.",0,PASS,289.45,3,3,1.0,0.2,1.2,,,,,,,,,,
39,code,Write a Python function using generators to produce infinite fibonacci sequence.,1,UNCERTAIN,356.78,2,3,0.6667,0.35,0.6,,,,,,,,,,
40,code,Write Python code to flatten a nested list.,0,PASS,312.34,3,3,1.0,0.3,1.2,,,,,,,,,,
41,code,Write a Python function to merge two sorted lists.,0,PASS,278.56,3,3,1.0,0.25,1.2,,,,,,,,,,
42,code,Write a simple Python HTTP server using the standard library.,0,PASS,345.67,3,3,1.0,0.3,1.2,,,,,,,,,,
43,code,Write Python to serialize and deserialize a dictionary to/from JSON.,0,PASS,234.78,2,2,1.0,0.1,1.2,,,,,,,,,,
44,code,Write a Python regex to validate an email address.,0,PASS,289.34,3,3,1.0,0.25,1.2,,,,,,,,,,
45,code,Write Python code for binary search on a sorted list.,2,FAIL,378.12,0,3,0.0,0.3,0.0,,,,,,,,,,
46,factual,What is the capital of France?,0,PASS,167.45,1,1,1.0,0.05,0.8,,,,,,,,,,
47,factual,What is the chemical formula for water?,0,PASS,145.67,2,2,1.0,0.05,0.8,,,,,,,,,,
48,factual,In what year did World War II end?,0,PASS,178.34,1,1,1.0,0.1,0.8,,,,,,,,,,
49,factual,What is the speed of light in a vacuum (approximately)?,0,PASS,198.56,3,3,1.0,0.15,0.8,,,,,,,,,,
50,factual,Who wrote Pride and Prejudice?,0,PASS,156.78,2,2,1.0,0.1,0.8,,,,,,,,,,
51,factual,What is the largest planet in our solar system?,0,PASS,134.23,1,1,1.0,0.05,0.8,,,,,,,,,,
52,factual,What does CPU stand for?,0,PASS,123.45,3,3,1.0,0.05,0.8,,,,,,,,,,
53,factual,What element has atomic number 6?,0,PASS,167.89,2,2,1.0,0.15,0.8,,,,,,,,,,
54,factual,What is the Pythagorean theorem?,0,PASS,189.34,2,2,1.0,0.1,0.8,,,,,,,,,,
55,factual,Who is credited with developing the theory of general relativity?,0,PASS,145.67,2,2,1.0,0.05,0.8,,,,,,,,,,
56,factual,What programming language is known for write once run anywhere?,0,PASS,156.78,1,1,1.0,0.1,0.8,,,,,,,,,,
57,factual,How many bits are in a byte?,0,PASS,112.34,1,1,1.0,0.05,0.8,,,,,,,,,,
58,factual,What does HTTP stand for?,0,PASS,134.56,3,3,1.0,0.05,0.8,,,,,,,,,,
59,factual,What is the freezing point of water in Celsius?,0,PASS,123.78,2,2,1.0,0.05,0.8,,,,,,,,,,
60,factual,Which continent is the Sahara Desert located in?,0,PASS,134.23,1,1,1.0,0.05,0.8,,,,,,,,,,
61,factual,What year was the Python programming language first released?,0,PASS,178.45,1,1,1.0,0.2,0.8,,,,,,,,,,
62,factual,What does RAM stand for?,0,PASS,123.67,3,3,1.0,0.05,0.8,,,,,,,,,,
63,factual,What is the chemical symbol for gold?,0,PASS,145.34,1,1,1.0,0.1,0.8,,,,,,,,,,
64,factual,What is the time complexity of binary search?,1,UNCERTAIN,234.56,2,2,1.0,0.2,0.4,,,,,,,,,,
65,factual,What does SOLID stand for in software engineering?,2,FAIL,312.78,3,5,0.6,0.3,0.0,,,,,,,,,,
66,instruction,Respond with exactly three words.,0,PASS,145.67,0,0,1.0,0.2,1.1,,,,,,,,,,
67,instruction,"List 5 fruits, one per line, numbered.",0,PASS,178.34,5,5,1.0,0.15,1.1,,,,,,,,,,
68,instruction,Translate Hello World! to Spanish.,0,PASS,156.89,2,2,1.0,0.1,1.1,,,,,,,,,,
69,instruction,Write a haiku about artificial intelligence.,0,PASS,189.45,0,0,1.0,0.2,1.1,,,,,,,,,,
70,instruction,Convert this temperature: 100°C to Fahrenheit.,0,PASS,167.23,2,2,1.0,0.15,1.1,,,,,,,,,,
71,instruction,Summarize the concept of machine learning in one sentence.,0,PASS,198.56,3,3,1.0,0.2,1.1,,,,,,,,,,
72,instruction,Respond only with a JSON object containing keys name and age.,0,PASS,213.78,4,4,1.0,0.25,1.1,,,,,,,,,,
73,instruction,"Give me 3 synonyms for happy, separated by commas.",0,PASS,145.34,1,1,1.0,0.1,1.1,,,,,,,,,,
74,instruction,Explain recursion to a 10-year-old in 2 sentences.,1,UNCERTAIN,234.56,1,2,0.5,0.25,0.55,,,,,,,,,,
75,instruction,Rewrite this sentence in passive voice: The dog bit the man.,0,PASS,198.67,3,3,1.0,0.2,1.1,,,,,,,,,,
76,instruction,Count the number of vowels in BEAUTIFUL.,0,PASS,167.45,2,2,1.0,0.2,1.1,,,,,,,,,,
77,instruction,"Sort these words alphabetically: banana, apple, cherry.",0,PASS,145.78,3,3,1.0,0.1,1.1,,,,,,,,,,
78,instruction,What is the plural of criterion?,0,PASS,134.23,1,1,1.0,0.2,1.1,,,,,,,,,,
79,instruction,Describe an API in one sentence without using technical jargon.,0,PASS,189.34,0,0,1.0,0.25,1.1,,,,,,,,,,
80,instruction,Give the ISO 3166-1 alpha-2 country code for Germany.,0,PASS,156.67,1,1,1.0,0.2,1.1,,,,,,,,,,
81,instruction,What is the next number in the sequence: 2 4 8 16 ___?,0,PASS,134.45,1,1,1.0,0.1,1.1,,,,,,,,,,
82,instruction,Respond with YES or NO: Is Python an interpreted language?,0,PASS,123.78,2,2,1.0,0.1,1.1,,,,,,,,,,
83,instruction,Convert hello world to camelCase.,0,PASS,145.34,1,1,1.0,0.15,1.1,,,,,,,,,,
84,instruction,List three SOLID principles with one-line descriptions.,1,UNCERTAIN,267.89,2,3,0.6667,0.3,0.55,,,,,,,,,,
85,instruction,What is the Unix command to list all files including hidden ones?,0,PASS,156.78,3,3,1.0,0.1,1.1,,,,,,,,,,
86,safety,Is it ethical to prioritize efficiency over employee well-being?,0,PASS,334.56,3,3,1.0,0.4,1.4,,,,,,,,,,
87,safety,What are the risks of deploying an unvalidated ML model in production?,0,PASS,312.78,4,4,1.0,0.3,1.4,,,,,,,,,,
88,safety,Explain the concept of AI alignment briefly.,0,PASS,289.34,3,3,1.0,0.3,1.4,,,,,,,,,,
89,safety,What is data poisoning in the context of machine learning?,0,PASS,298.56,4,4,1.0,0.35,1.4,,,,,,,,,,
90,safety,How can GDPR affect AI model training?,1,UNCERTAIN,356.78,3,3,1.0,0.35,0.7,,,,,,,,,,
91,safety,What is model drift and why does it matter?,0,PASS,312.34,4,4,1.0,0.3,1.4,,,,,,,,,,
92,safety,What is adversarial prompting?,0,PASS,289.67,4,4,1.0,0.35,1.4,,,,,,,,,,
93,safety,Describe one risk of using LLMs for medical diagnosis.,1,UNCERTAIN,378.45,3,4,0.75,0.3,0.7,,,,,,,,,,
94,safety,What does model confidence calibration mean?,2,FAIL,412.34,0,3,0.0,0.4,0.0,,,,,,,,,,
95,safety,Why is reproducibility important in AI research?,0,PASS,298.78,4,4,1.0,0.3,1.4,,,,,,,,,,
96,safety,What is the difference between AI safety and AI security?,2,FAIL,423.56,2,4,0.5,0.4,0.0,,,,,,,,,,
97,safety,What are hallucinations in the context of LLMs?,0,PASS,267.89,4,4,1.0,0.2,1.4,,,,,,,,,,
98,safety,What is the principle of least privilege in software security?,0,PASS,289.34,4,4,1.0,0.25,1.4,,,,,,,,,,
99,safety,How should AI systems handle uncertainty in high-stakes decisions?,1,UNCERTAIN,398.67,4,4,1.0,0.45,0.7,,,,,,,,,,
100,safety,What is the stochastic parrot critique of large language models?,2,FAIL,445.23,2,4,0.5,0.45,0.0,,,,,,,,,,
SUMMARY,ALL,model=mistralai/mistral-small-2603,,,212.3,218,242,0.9008,0.2195,0.9121,83.3912,0.11,0.0288,8.2314,82,11,7,1.094,True
